2023-03-08 15:38:56,950 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-03-08 15:38:57,287 [main] INFO  o.apache.coyote.http11.Http11NioProtocol           - Starting ProtocolHandler ["http-nio-7777"]
2023-03-08 15:38:57,429 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer            - Tomcat started on port(s): 7777 (http) with context path ''
2023-03-08 15:38:57,454 [main] INFO  c.l.b.c.CurrencykotlinApplicationKt                - Started CurrencykotlinApplicationKt in 4.695 seconds (process running for 5.199)
2023-03-08 15:39:37,017 [http-nio-7777-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]                 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-08 15:39:37,018 [http-nio-7777-exec-2] INFO  o.s.web.servlet.DispatcherServlet                  - Initializing Servlet 'dispatcherServlet'
2023-03-08 15:39:37,019 [http-nio-7777-exec-2] INFO  o.s.web.servlet.DispatcherServlet                  - Completed initialization in 1 ms
2023-03-08 15:39:37,064 [http-nio-7777-exec-2] INFO  c.lan.bo.currencykotlin.api.CurrencyApi            - Hi, Sam  info log
2023-03-08 15:39:37,065 [http-nio-7777-exec-2] INFO  c.lan.bo.currencykotlin.api.CurrencyApi            - Dummy info message
2023-03-08 15:39:37,065 [http-nio-7777-exec-2] WARN  c.lan.bo.currencykotlin.api.CurrencyApi            - Dummy warning message.
2023-03-08 15:39:37,065 [http-nio-7777-exec-2] ERROR c.lan.bo.currencykotlin.api.CurrencyApi            - Dummy error message.
2023-03-08 15:47:47,839 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-03-08 15:47:47,842 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Shutdown initiated...
2023-03-08 15:47:47,850 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Shutdown completed.
